transaction_id,merchant_name,category,amount,currency,transaction_date,status,customer_id,payment_method,merchant_city
TXN100501,TravelEasy,travel,9064.98,INR,2026-03-15,pending,C1016,netbanking,Hyderabad
TXN100502,CafeBlend,food,47346.7,EUR,2026-04-14,completed,C1011,card,Chennai
TXN100503,TechZone,electronics,37213.05,INR,2026-04-11,pending,C1042,netbanking,Chennai
TXN100504,ByteStore,tech,14709.62,INR,2026-03-18,pending,C1006,UPI,Delhi
TXN100505,TechZone,electronics,25028.86,INR,2026-05-29,pending,C1067,netbanking,Delhi
TXN100506,QuickMart,retail,43543.75,INR,2026-03-22,completed,C1025,netbanking,Delhi
TXN100507,ByteStore,tech,44643.33,INR,2026-04-30,completed,C1040,card,Bengaluru
TXN100508,AutoFix,automotive,16638.15,INR,2026-03-25,completed,C1081,UPI,Bengaluru
TXN100509,AutoFix,automotive,13683.66,INR,2026-03-24,failed,C1097,card,Delhi
TXN100510,FuelPlus,fuel,6479.0,USD,2026-04-27,completed,C1054,wallet,Delhi
TXN100511,AutoFix,automotive,19171.99,INR,2026-03-07,failed,C1025,netbanking,Bengaluru
TXN100512,GroceryHub,grocery,37844.82,INR,2026-05-09,completed,C1002,UPI,Mumbai
TXN100513,TechZone,electronics,34679.3,INR,2026-04-16,completed,C1016,UPI,Delhi
TXN100514,TravelEasy,travel,29437.65,INR,2026-03-24,completed,C1005,netbanking,Chennai
TXN100515,AutoFix,automotive,36394.32,INR,2026-05-18,failed,C1043,wallet,Mumbai
TXN100516,GroceryHub,grocery,49806.98,INR,2026-05-04,completed,C1096,card,Mumbai
TXN100517,PetCorner,pet,966.05,INR,2026-03-31,completed,C1016,card,Bengaluru
TXN100518,ByteStore,tech,25236.63,INR,2026-03-18,completed,C1091,UPI,Delhi
TXN100519,MediPharm,pharmacy,38564.77,INR,2026-05-21,completed,C1076,UPI,Bengaluru
TXN100520,QuickMart,retail,2421.27,INR,2026-03-17,pending,C1056,wallet,Bengaluru
TXN100521,TravelEasy,travel,12644.39,INR,2026-05-31,completed,C1026,UPI,Chennai
TXN100522,PetCorner,pet,33086.61,INR,2026-05-26,failed,C1034,card,Delhi
TXN100523,FuelPlus,fuel,25584.12,USD,2026-05-21,completed,C1036,UPI,Bengaluru
TXN100524,AutoFix,automotive,9940.35,INR,2026-03-28,completed,C1033,card,Chennai
TXN100525,PetCorner,pet,14774.61,INR,2026-03-08,failed,C1063,card,Delhi
TXN100526,GroceryHub,grocery,11732.92,INR,2026-03-04,completed,C1011,UPI,Hyderabad
TXN100527,AutoFix,automotive,7465.73,INR,2026-03-14,completed,C1065,UPI,Bengaluru
TXN100528,MediPharm,pharmacy,32220.4,INR,2026-04-30,completed,C1033,wallet,Bengaluru
TXN100529,FuelPlus,fuel,40660.79,USD,2026-03-08,completed,C1037,netbanking,Chennai
TXN100530,PetCorner,pet,36929.62,INR,2026-03-15,completed,C1097,UPI,Bengaluru
TXN100531,CafeBlend,food,33171.12,EUR,2026-03-24,completed,C1045,wallet,Hyderabad
TXN100532,MediPharm,pharmacy,43924.99,INR,2026-03-14,completed,C1043,card,Bengaluru
TXN100533,PetCorner,pet,20018.51,INR,2026-04-30,completed,C1049,wallet,Delhi
TXN100534,CafeBlend,food,5661.7,EUR,2026-05-31,completed,C1007,card,Bengaluru
TXN100535,PetCorner,pet,45562.23,INR,2026-05-03,completed,C1072,wallet,Mumbai
TXN100536,ByteStore,tech,18993.74,INR,2026-04-17,failed,C1003,card,Delhi
TXN100537,AutoFix,automotive,5655.74,INR,2026-04-24,pending,C1005,UPI,Chennai
TXN100538,GroceryHub,grocery,627.89,INR,2026-05-28,failed,C1098,card,Chennai
TXN100539,TravelEasy,travel,26159.93,INR,2026-05-31,failed,C1012,wallet,Mumbai
TXN100540,AutoFix,automotive,17294.02,INR,2026-05-28,completed,C1049,card,Hyderabad
TXN100541,ByteStore,tech,2737.76,INR,2026-05-24,completed,C1064,wallet,Delhi
TXN100542,CafeBlend,food,3752.51,EUR,2026-05-04,completed,C1030,netbanking,Chennai
