transaction_id,merchant_name,category,amount,currency,transaction_date,status,customer_id,payment_method,merchant_city
TXN100001,FuelPlus,fuel,1260.29,USD,2026-04-07,completed,C1028,card,Bengaluru
TXN100002,TravelEasy,travel,4356.07,INR,2026-04-26,completed,C1003,UPI,Mumbai
TXN100003,ByteStore,tech,1336.53,INR,2026-03-28,completed,C1083,wallet,Mumbai
TXN100004,MediPharm,pharmacy,40473.43,INR,2026-03-03,completed,C1020,wallet,Chennai
TXN100005,TechZone,electronics,47861.08,INR,2026-04-15,completed,C1011,wallet,Bengaluru
TXN100006,GroceryHub,grocery,-30190.26,INR,2026-03-08,completed,C1058,UPI,Delhi
TXN100007,MediPharm,pharmacy,,INR,2026-05-21,completed,C1046,card,Bengaluru
TXN100008,TechZone,electronics,38655.69,INR,2026-03-13,completed,C1029,UPI,Delhi
TXN100009,GroceryHub,grocery,8141.08,INR,2026-04-17,completed,C1085,netbanking,Bengaluru
TXN100010,CafeBlend,food,26711.65,EUR,2026-04-03,completed,C1059,wallet,Chennai
TXN100011,TravelEasy,travel,10988.56,INR,2026-04-13,completed,C1098,UPI,Mumbai
TXN100012,GroceryHub,grocery,20064.23,INR,2026-03-11,completed,C1072,netbanking,Mumbai
TXN100013,PetCorner,pet,44235.31,INR,2026-05-24,pending,C1018,netbanking,Mumbai
TXN100014,TravelEasy,travel,26953.47,INR,2026-05-16,pending,C1074,wallet,Chennai
TXN100015,CafeBlend,food,25481.22,EUR,2026-03-14,completed,C1006,UPI,Mumbai
TXN100016,PetCorner,pet,29824.49,INR,2026-04-21,pending,C1076,wallet,Hyderabad
TXN100017,TravelEasy,travel,43040.38,INR,2026-03-04,completed,C1092,UPI,Hyderabad
TXN100018,GroceryHub,grocery,5586.49,INR,2026-04-27,completed,C1058,UPI,Chennai
TXN100019,CafeBlend,food,25389.01,EUR,2026-03-16,completed,C1080,netbanking,Hyderabad
TXN100020,CafeBlend,food,18701.95,EUR,2026-03-23,failed,C1099,UPI,Hyderabad
TXN100021,QuickMart,retail,5602.27,INR,2026-04-18,completed,C1039,card,Bengaluru
TXN100022,ByteStore,tech,47348.0,INR,2026-03-13,completed,C1062,UPI,Hyderabad
TXN100023,CafeBlend,food,32990.94,EUR,2026-05-12,completed,C1033,wallet,Mumbai
TXN100024,TechZone,electronics,35650.32,INR,2026-04-23,completed,C1083,netbanking,Delhi
TXN100025,AutoFix,automotive,6059.0,INR,2026-03-31,completed,C1043,UPI,Hyderabad
TXN100026,ByteStore,tech,,INR,2026-03-12,completed,C1080,UPI,Mumbai
TXN100027,QuickMart,retail,42983.17,INR,2026-03-12,failed,C1030,netbanking,Delhi
TXN100028,CafeBlend,food,36170.39,EUR,2026-05-15,failed,C1060,card,Delhi
TXN100029,TechZone,electronics,4725.35,INR,2026-05-26,pending,C1045,wallet,Delhi
TXN100030,QuickMart,retail,33671.49,INR,2026-05-24,completed,C1007,wallet,Chennai
TXN100031,FuelPlus,fuel,12440.33,USD,2026-03-27,failed,C1057,card,Delhi
TXN100032,AutoFix,automotive,12497.82,INR,2026-03-12,pending,C1070,UPI,Bengaluru
TXN100033,TravelEasy,travel,41803.02,INR,2026-03-14,completed,C1030,card,Delhi
TXN100034,TechZone,electronics,43233.87,INR,2026-03-10,completed,C1048,UPI,Delhi
TXN100035,AutoFix,automotive,14269.61,INR,2026-05-31,completed,C1071,wallet,Mumbai
TXN100036,TechZone,electronics,,INR,2026-05-16,completed,C1069,UPI,Chennai
TXN100037,ByteStore,tech,,INR,2026-05-09,completed,C1007,UPI,Mumbai
TXN100038,FuelPlus,fuel,33763.88,USD,2026-04-02,pending,C1015,card,Hyderabad
TXN100039,ByteStore,tech,4108.35,INR,2026-05-26,failed,C1072,netbanking,Chennai
TXN100040,GroceryHub,grocery,11941.91,INR,2026-04-22,completed,C1085,netbanking,Delhi
TXN100041,FuelPlus,fuel,475.68,USD,2026-05-21,failed,C1012,UPI,Hyderabad
TXN100042,MediPharm,pharmacy,6631.5,INR,2026-04-16,completed,C1031,netbanking,Chennai
TXN100043,TravelEasy,travel,35179.96,INR,2026-05-20,completed,C1083,UPI,Hyderabad
TXN100044,FuelPlus,fuel,46947.11,USD,2026-03-20,completed,C1014,UPI,Hyderabad
TXN100045,MediPharm,pharmacy,30245.44,INR,2026-04-15,completed,C1087,netbanking,Hyderabad
TXN100046,QuickMart,retail,4624.0,INR,2026-04-26,completed,C1035,UPI,Bengaluru
TXN100047,CafeBlend,food,31859.3,EUR,2026-04-05,completed,C1094,wallet,Hyderabad
TXN100048,TravelEasy,travel,493.39,INR,2026-03-12,completed,C1019,UPI,Chennai
TXN100049,CafeBlend,food,21495.04,EUR,2026-03-08,completed,C1046,UPI,Chennai
TXN100050,TechZone,electronics,33350.0,INR,2026-04-17,completed,C1071,wallet,Hyderabad
TXN100051,TechZone,electronics,43231.64,INR,2026-03-25,pending,C1003,card,Chennai
TXN100052,PetCorner,pet,40113.73,INR,2026-04-03,completed,C1020,UPI,Delhi
,AutoFix,automotive,11129.46,INR,2026-04-30,completed,C1039,card,Mumbai
TXN100054,TechZone,electronics,19929.31,INR,2026-04-07,completed,C1008,netbanking,Chennai
TXN100055,PetCorner,pet,33979.11,INR,2026-05-10,completed,C1003,UPI,Chennai
TXN100056,MediPharm,pharmacy,1922.48,INR,2026-05-18,pending,C1044,netbanking,Delhi
,TravelEasy,travel,5791.13,INR,2026-05-15,completed,C1032,UPI,Delhi
TXN100058,TravelEasy,travel,34345.99,INR,2026-05-27,completed,C1046,wallet,Bengaluru
TXN100059,GroceryHub,grocery,31161.54,INR,2026-05-26,completed,C1015,netbanking,Hyderabad
TXN100060,PetCorner,pet,16315.88,INR,2026-05-31,completed,C1070,card,Mumbai
TXN100061,PetCorner,pet,33869.12,INR,2026-03-25,failed,C1072,netbanking,Delhi
TXN100062,QuickMart,retail,15200.71,INR,2026-03-29,pending,C1074,netbanking,Delhi
TXN100063,TechZone,electronics,25563.59,INR,2026-03-24,completed,C1010,netbanking,Hyderabad
TXN100064,,tech,16766.06,INR,2026-04-02,completed,C1039,card,Mumbai
TXN100065,QuickMart,retail,12249.68,INR,2026-05-02,failed,C1098,UPI,Delhi
TXN100066,,tech,9729.82,INR,2026-05-31,pending,C1063,wallet,Mumbai
TXN100067,QuickMart,retail,44634.06,INR,2026-03-16,completed,C1054,card,Mumbai
TXN100068,TravelEasy,travel,23232.85,INR,2026-05-13,completed,C1015,wallet,Mumbai
TXN100069,TravelEasy,travel,49394.74,INR,2026-05-18,completed,C1096,wallet,Hyderabad
TXN100070,TravelEasy,travel,21342.77,INR,2026-05-12,pending,C1020,wallet,Delhi
TXN100071,TechZone,electronics,41994.75,INR,2026-04-07,completed,C1099,wallet,Mumbai
TXN100072,FuelPlus,fuel,-35680.11,USD,2026-04-02,completed,C1042,netbanking,Hyderabad
TXN100073,CafeBlend,food,11570.76,EUR,2026-05-30,completed,C1090,card,Bengaluru
TXN100074,GroceryHub,grocery,27135.13,INR,2026-04-25,completed,C1026,wallet,Delhi
,ByteStore,tech,47303.64,INR,2026-03-05,completed,C1097,wallet,Delhi
TXN100076,GroceryHub,grocery,14937.65,INR,2026-04-21,completed,C1053,card,Delhi
