transaction_id,merchant_name,category,amount,currency,transaction_date,status,customer_id,payment_method,merchant_city,issue_found,severity,auto_fixable
TXN100001,PetCorner,pet,8450.87,USD,2026-06-02,completed,C1063,card,Kolkata,,,
TXN100002,FuelPlus,fuel,5615.18,INR,2026-06-04,failed,C1175,NEFT,Bengaluru,,,
TXN100003,ByteStore,tech,10825.34,INR,2026-06-04,failed,C1150,card,Kolkata,,,
TXN100004,HealthHub,pharmacy,17368.36,INR,2026-06-04,completed,C1038,wallet,Pune,,,
TXN100005,CafeBlend,food,18717.28,INR,2026-06-03,completed,C1183,NEFT,Pune,,,
TXN100006,MobiRecharge,telecom,2041.11,INR,2026-06-03,pending,C1010,netbanking,Hyderabad,,,
TXN100007,QuickMart,retail,9423.51,INR,2026-06-03,failed,C1020,wallet,Hyderabad,,,
,HealthHub,pharmacy,4453.99,INR,2026-06-04,completed,C1091,card,Mumbai,,,
TXN100009,HealthHub,pharmacy,15767.36,INR,2026-06-04,failed,C1045,NEFT,Pune,,,
TXN100010,CafeBlend,food,930.92,INR,2026-06-01,completed,C1121,wallet,Bengaluru,,,
TXN100011,HealthHub,pharmacy,9428.19,INR,2026-06-01,completed,C1079,NEFT,Bengaluru,,,
TXN100012,PetCorner,pet,7333.79,USD,2026-06-04,completed,C1014,card,Delhi,,,
TXN100013,MediPharm,pharmacy,12054.9,INR,2026-06-02,completed,C1177,wallet,Bengaluru,,,
TXN100014,CafeBlend,food,16279.56,INR,2026-06-02,failed,C1104,UPI,Bengaluru,,,
TXN100015,FuelPlus,fuel,3263.33,INR,2026-06-02,completed,C1104,card,Mumbai,,,
TXN100016,HealthHub,pharmacy,12393.93,INR,2026-06-04,completed,C1065,UPI,Kolkata,,,
TXN100017,CloudStore,tech,-2847.5,INR,2026-06-01,failed,C1073,UPI,Hyderabad,,,
TXN100018,CloudStore,tech,1163.19,INR,2026-06-02,pending,C1102,netbanking,Kolkata,,,
TXN100019,MobiRecharge,telecom,8859.09,INR,2026-06-04,completed,C1136,UPI,Mumbai,,,
TXN100020,HealthHub,pharmacy,942.52,INR,2026-06-03,pending,C1197,wallet,Mumbai,,,
TXN100021,MediPharm,pharmacy,18796.37,INR,2026-06-02,completed,C1027,netbanking,Mumbai,,,
TXN100022,MobiRecharge,telecom,17826.91,INR,2026-06-02,pending,C1075,wallet,Kolkata,,,
TXN100023,FuelPlus,fuel,19429.59,INR,2026-06-04,completed,C1017,NEFT,Chennai,,,
TXN100024,HealthHub,pharmacy,15103.59,INR,2026-06-03,pending,C1136,card,Chennai,,,
TXN100025,PetCorner,pet,19408.95,USD,2026-06-04,failed,C1040,netbanking,Delhi,,,
TXN100026,SpeedPay,payments,14962.3,INR,2026-06-04,completed,C1097,netbanking,Mumbai,,,
TXN100027,GroceryHub,grocery,214.33,INR,2026-06-03,completed,C1049,card,Kolkata,,,
TXN100028,SpeedPay,payments,5830.31,INR,2026-06-04,completed,C1104,netbanking,Pune,,,
TXN100029,PetCorner,pet,199.17,USD,2026-06-02,completed,C1133,netbanking,Pune,,,
TXN100030,FreshMart,retail,21791.14,INR,2026-06-04,completed,C1067,wallet,Delhi,,,
TXN100031,TravelEasy,travel,11738.96,INR,2026-06-03,completed,C1189,UPI,Bengaluru,,,
TXN100032,MobiRecharge,telecom,6848.12,INR,2026-06-01,completed,C1106,netbanking,Chennai,,,
TXN100033,TravelEasy,travel,13825.62,INR,99-99-9999,completed,C1193,UPI,Kolkata,,,
TXN100034,MobiRecharge,telecom,8755.18,INR,2026-06-02,completed,C1117,netbanking,Mumbai,,,
TXN100035,HealthHub,pharmacy,2978.92,INR,2026-06-04,pending,C1107,NEFT,Pune,,,
TXN100036,CafeBlend,food,7993.28,INR,2026-06-02,completed,C1118,NEFT,Kolkata,,,
TXN100037,HealthHub,pharmacy,15430.56,INR,2026-06-02,pending,C1146,wallet,Pune,,,
TXN100038,CafeBlend,food,21571.93,INR,2026-06-02,pending,C1133,UPI,Bengaluru,,,
TXN100039,GroceryHub,grocery,17542.26,INR,2026-06-01,completed,C1167,UPI,Hyderabad,,,
TXN100040,SpeedPay,payments,11782.3,INR,2026-06-01,failed,C1081,wallet,Chennai,,,
TXN100041,CafeBlend,food,3099.01,IND,2026-06-01,pending,C1009,UPI,Chennai,,,
TXN100042,TravelEasy,travel,5151.43,INR,2026-06-03,completed,C1112,UPI,Pune,,,
